index,class_representation,visual_fidelity,structural_integrity,diversity,beneficial_variations,explanation,filename,class_name,real_filename
1,0.9,0.8,0.9,0.3,0.4,"The image maintains the core features of an airplane and is distinguishable. However, there are some visual artifacts and slight distortions.",aug-1-0.png,airplane,2007_004988.jpg
2,0.8,0.7,0.8,0.5,0.6,"The image is recognizable as an airplane but has noticeable artifacts and some structural distortions. The context is slightly different, adding some diversity.",aug-1-1.png,airplane,2007_004988.jpg
3,0.7,0.6,0.7,0.6,0.5,"The image is somewhat distorted and has visual artifacts. The context is different, providing diversity, but the structural integrity is compromised.",aug-1-2.png,airplane,2007_004988.jpg
4,0.9,0.8,0.9,0.4,0.5,"The image is clear and maintains the core features of an airplane. There are minor artifacts, and the context is slightly different, adding some diversity.",aug-1-3.png,airplane,2007_004988.jpg
5,0.6,0.5,0.6,0.7,0.6,"The image is taken from a different angle, providing diversity. However, it is blurry and has significant visual artifacts, affecting its fidelity and structural integrity.",aug-1-4.png,airplane,2007_004988.jpg
6,0.5,0.4,0.5,0.8,0.7,"The image is taken from a unique angle, adding diversity. However, it is blurry and lacks clarity, affecting its visual fidelity and structural integrity.",aug-1-5.png,airplane,2007_004988.jpg
7,0.4,0.3,0.4,0.9,0.8,"The image is highly diverse with a unique angle and context. However, it is blurry and lacks clarity, significantly affecting its visual fidelity and structural integrity.",aug-1-6.png,airplane,2007_004988.jpg
8,0.6,0.5,0.6,0.7,0.7,"The image shows two airplanes, adding diversity. However, it is blurry and has visual artifacts, affecting its visual fidelity and structural integrity.",aug-1-7.png,airplane,2007_004988.jpg
9,0.9,0.8,0.9,0.4,0.5,"The image maintains the core features of an airplane and is distinguishable. There are minor visual artifacts, and the context is slightly different, adding some diversity.",aug-1-8.png,airplane,2007_004988.jpg
10,0.9,0.8,0.9,0.4,0.5,"The image maintains the core features of an airplane and is distinguishable. There are minor visual artifacts, and the context is slightly different, adding some diversity.",aug-1-9.png,airplane,2007_004988.jpg
1,0.5,0.3,0.4,0.7,0.6,"The image is heavily distorted, making it difficult to distinguish the airplane. However, some key features are still somewhat recognizable.",aug-0-0.png,airplane,2007_009348.jpg
2,0.6,0.4,0.5,0.8,0.7,"The image shows multiple airplanes but is distorted. The core features are somewhat visible, but the quality is low.",aug-0-1.png,airplane,2007_009348.jpg
3,0.7,0.5,0.6,0.8,0.7,"The image is clearer than the previous ones, with multiple airplanes visible. However, the distortion affects the overall quality.",aug-0-2.png,airplane,2007_009348.jpg
4,0.8,0.6,0.7,0.8,0.8,"The airplane is more distinguishable, and the image quality is better. The context is appropriate, but some distortion remains.",aug-0-3.png,airplane,2007_009348.jpg
